"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.813149748072143,0.225793424061564,3.60129951282564,0.000328322146170817
"2","launch_date",-3.69338050895064e-05,1.12348883389099e-05,-3.28742075358179,0.00103757854840966
"3","Number_Backers",0.377907729227822,0.0431875303166829,8.75038990321334,6.3394709904143e-18
"4","Creator_nb_projects",0.178369734188374,0.0423702266730225,4.20978947233114,2.7283059538423e-05
"5","X1",0.0439329444304418,0.151476452335029,0.290031511520173,0.771837477490405
"6","X2",0.402768002021034,0.205248598872969,1.96234227289567,0.0499315122577571
"7","X3",0.0297216768242737,0.228057839613416,0.130325170468401,0.896328934142578
"8","X4",0.175820569077647,0.160037312341418,1.09862235565765,0.272132258978515
"9","X5",0.197874063846579,0.194883750055499,1.01534408995223,0.310127058867851
"10","X6",0.091148105494956,0.179508578110876,0.507764623029084,0.611702868914633
"11","X7",0.148689309517576,0.164913078429728,0.901622302690417,0.367421274079929
"12","X8",0.339632387511869,0.157322015507313,2.15883572567172,0.0310418455891684
"13","X9",-0.0130104898205778,0.14304967485106,-0.0909508521017193,0.927545380199793
"14","X10",0.503984536657584,0.166022756950952,3.03563527020862,0.00244707617990266
"15","X11",0.037308852148777,0.11939942783784,0.312470945836084,0.754731771711976
"16","X12",0.0370642459482416,0.158072402662059,0.234476387554383,0.81465136143716
"17","X13",0.0020026024356533,0.1378804902966,0.0145241899803622,0.988413965393086
"18","X14",0.113504599205366,0.206915265549212,0.548555945855868,0.583402569995048
"19","X15",0.211115714405444,0.152253477973369,1.38660684284907,0.165794750613129
"20","X16",-0.0358302499574968,0.141052837551815,-0.254020057868987,0.799519445056829
"21","X17",0.165364613018073,0.156697104886676,1.05531377326764,0.291474082333972
"22","X18",0.173310664655473,0.137382915194659,1.26151541048541,0.207345085623677
"23","X19",0.227098766590973,0.135132650543605,1.68056177154382,0.0930835909184313
"24","X20",0.293485622340887,0.137175964384491,2.13948284349782,0.0325787176183867
"25","X21",0.203911112491877,0.162865489101892,1.25202161376439,0.210782783776147
"26","X22",0.518484423147396,0.171898061337694,3.0162319406781,0.00260809202874859
"27","X23",0.315873797983299,0.179389562571399,1.76082595584444,0.0784983466021103
"28","X24",0.223586466434631,0.132847549052731,1.68303042117761,0.0926046061184893
"29","X25",-0.0305760633762821,0.153903239958501,-0.198670693251986,0.842550806164962
"30","X26",0.145174462996855,0.156531189357499,0.927447517601704,0.353863007498853
"31","X27",0.215584759881571,0.138729668419773,1.55399174767179,0.12042501267017
"32","X28",0.374091816985253,0.171101917709516,2.18636834696591,0.0289629790278857
"33","X29",0.357837342900193,0.191272866501347,1.8708212484371,0.0615899699660138
"34","X30",0.229158582675079,0.185761361612278,1.23361812535257,0.217563853105731
"35","X31",-0.0540500372995747,0.139170217933114,-0.388373591004589,0.697801929446105
"36","X32",0.175079881960745,0.131762640949891,1.32875207037879,0.184158387617209
"37","X33",0.234747161239223,0.144743690585528,1.62181273870803,0.105081178948717
"38","X34",0.172521266182052,0.159178710257667,1.0838212340255,0.278641095334037
"39","X35",0.353727868888049,0.139822044033834,2.52984335433155,0.0115263618273553
"40","X36",0.0658288516412005,0.146463645206829,0.4494552320355,0.653176749986057
"41","X37",0.332002644279487,0.122420530998239,2.71198500424952,0.00677460642491869
"42","X38",-0.0421282321359118,0.196639703372854,-0.214240722566751,0.830392280880152
"43","X39",0.101093558203507,0.157023786048229,0.643810474500063,0.519809675416564
"44","X40",0.0464844452471525,0.124855473307109,0.372306027248112,0.709724504773128
"45","X41",0.48336066279878,0.129633158911373,3.72868073923309,0.000200598476291121
"46","X42",0.0759518970445999,0.133273680826724,0.569894194963735,0.568845999684757
"47","X43",0.228021395738593,0.157945938287386,1.44366735992731,0.149068775826792
"48","X44",0.199961755638904,0.123568407176465,1.61822718450472,0.105851467533508
"49","X45",0.589878512000405,0.147793956170676,3.99122215335517,6.93330408427357e-05
"50","X46",0.228029383850774,0.133314632814024,1.71046027759667,0.087414705151347
"51","X47",0.105359673423462,0.126754619452419,0.831209733251671,0.406004804026572
"52","X48",0.125577995253027,0.124211618045166,1.01100039778376,0.31220068223088
"53","X49",-0.079771892237631,0.151752336682362,-0.525671590840833,0.599204299523248
"54","X50",NA,NA,NA,NA
"55","location_binaryTRUE",-0.0265496846992695,0.011738701599744,-2.26172242932288,0.0238759307254689
